symbol,expiry_date,snapshot_date,futures_price,prev_price,price_chg_pct,open_interest,oi_change,volume_contracts,oi_chg_pct,buildup_type,buildup_strength,company_name,sector,market_cap_tier,is_nifty50,is_banknifty,is_nifty_next50,has_earnings_this_week,earnings_date,days_to_earnings
EICHERMOT,2026-08-25,2026-08-13,8088.0,8040.5,0.59,3471500,-111900,2441,-3.12,Neutral,Weak,Eicher Motors,Automobile,large,True,False,False,False,,
ETERNAL,2026-08-25,2026-08-13,318.95,314.5,1.41,143855850,-1930300,6357,-1.32,Neutral,Weak,Eternal,Consumer Services,large,True,False,False,False,,
FEDERALBNK,2026-08-25,2026-08-13,353.75,356.2,-0.69,85875000,620000,1520,0.73,Neutral,Weak,Federal Bank,Banking,mid,False,True,False,False,,
FORTIS,2026-08-25,2026-08-13,906.35,892.05,1.6,10998800,79050,2114,0.72,Neutral,Weak,Fortis Healthcare,Healthcare,mid,False,False,False,False,,
GAIL,2026-08-25,2026-08-13,175.17,174.86,0.18,85941950,-1203450,1517,-1.38,Neutral,Weak,GAIL,Oil & Gas,large,False,False,True,False,,
GODREJCP,2026-08-25,2026-08-13,939.1,910.2,3.18,16227500,-417000,11885,-2.51,Short Covering,Moderate,Godrej Consumer Products,Consumer Goods,mid,False,False,True,False,,
GODREJPROP,2026-08-25,2026-08-13,2030.7,2010.5,1.0,8512400,34125,1389,0.4,Neutral,Weak,Godrej Properties,Real Estate,mid,False,False,False,False,,
GRASIM,2026-08-25,2026-08-13,3254.5,3323.4,-2.07,11485750,213250,6975,1.89,Neutral,Weak,Grasim Industries,Diversified,large,True,False,False,False,,
HAL,2026-08-25,2026-08-13,4947.2,5003.5,-1.13,6510600,199200,9688,3.16,Short Buildup,Moderate,Hindustan Aeronautics,Defence,large,False,False,False,False,,
HAVELLS,2026-08-25,2026-08-13,1276.8,1267.9,0.7,8361000,-78000,915,-0.92,Neutral,Weak,Havells India,Consumer Goods,large,False,False,True,False,,
HCLTECH,2026-08-25,2026-08-13,1369.6,1360.1,0.7,26142000,-70400,2347,-0.27,Neutral,Weak,HCL Technologies,Information Technology,large,True,False,False,False,,
